Index,Voltage (V)
0,-2.1227
1,-1.8355
2,-2.5343
3,-2.387
4,-1.2451
5,-2.0455
6,-2.4125
7,-2.4886
8,-2.5662
9,-2.5269
10,-2.6231
11,-2.8864
12,-3.5114
13,-4.3214
14,-4.5224
15,-3.7571
16,-2.8917
17,-2.3673
18,-2.2721
19,-2.2168
20,-2.2918
21,-2.4716
22,-2.5077
23,-2.5482
24,-2.5641
25,-2.6997
26,-3.0619
27,-3.7182
28,-4.3953
29,-4.5043
30,-3.8353
31,-2.9976
32,-2.4758
33,-2.303
34,-2.2141
35,-2.2663
36,-2.2583
37,-2.1296
38,-1.82
39,-1.2504
40,-0.6701
41,-0.826
42,-1.4578
43,-2.0923
44,-2.42
45,-2.4896
46,-2.545
47,-2.529
48,-2.5726
49,-2.7625
50,-3.239
51,-4.1049
52,-4.5634
53,-4.039
54,-3.1906
55,-2.4811
56,-2.3184
57,-2.2216
58,-2.2631
59,-2.2381
60,-2.0471
61,-1.4653
62,-0.8957
63,-0.6813
64,-1.1861
65,-2.0126
66,-2.3913
67,-2.4891
68,-2.546
69,-2.5263
70,-2.6067
71,-2.862
72,-3.4316
73,-4.2868
74,-4.5464
75,-3.7986
76,-2.9699
77,-2.4088
78,-2.3003
79,-1.2823
80,-2.1014
81,-2.42
82,-2.4891
83,-2.5609
84,-2.5327
85,-2.6636
86,-2.9401
87,-3.7081
88,-4.3831
89,-4.4091
90,-3.605
91,-2.7136
92,-2.3492
93,-2.2806
94,-2.2328
95,-2.2812
96,-2.1493
97,-1.8839
98,-1.2004
99,-0.7074
100,-0.9696
101,-1.6445
102,-2.2966
103,-2.4726
104,-2.5051
105,-2.5482
106,-2.5641
107,-2.6987
108,-3.1906
109,-2.2572
110,-2.2524
111,-2.1094
112,-1.6711
113,-1.0499
114,-0.6393
115,-1.0164
116,-1.6966
117,-2.2556
118,-2.4636
119,-2.4896
120,-2.5636
121,-2.5274
122,-2.6162
123,-2.8907
124,-3.4816
125,-4.1911
126,-4.565
127,-4.1134
128,-3.2651
129,-2.5992
130,-2.3312
131,-2.2609
132,-2.2349
133,-2.2796
134,-2.1785
135,-1.9695
136,-1.4525
137,-0.8856
138,-0.6441
139,-1.2004
140,-1.8849
141,-2.396
142,-2.487
143,-2.554
144,-2.5258
145,-2.6104
146,-2.8705
147,-3.4459
148,-4.3033
149,-4.4793
150,-3.7879
151,-2.8061
152,-2.4061
153,-2.2881
154,-2.2051
155,-2.2843
156,-2.1998
157,-1.9482
158,-1.4233
159,-0.7606
160,-0.701
161,-1.3993
162,-2.053
163,-2.4391
164,-2.4891
165,-2.5657
166,-2.5279
167,-2.6481
168,-2.8917
169,-2.2062
170,-2.2817
171,-2.1913
172,-1.9184
173,-1.3759
174,-0.7377
175,-0.8313
176,-1.4578
177,-2.1987
178,-2.4482
179,-2.4918
180,-2.5524
181,-2.5428
182,-2.6918
183,-3.1481
184,-3.9863
185,-4.5394
186,-4.1677
187,-3.3295
188,-2.537
189,-2.3296
190,-2.2359
191,-2.2445
192,-2.2551
193,-2.1253
194,-1.6934
195,-1.1089
196,-0.6441
197,-0.9536
198,-1.7839
199,-4.1836
200,-4.5724
201,-3.9454
202,-3.0933
203,-2.4471
204,-2.3083
205,-2.2296
206,-2.2551
207,-2.2679
208,-2.1482
209,-1.8823
210,-1.3318
211,-0.7919
212,-0.7643
213,-1.3573
214,-2.0184
215,-2.3934
216,-2.487
217,-2.5338
218,-2.537
219,-2.5838
