Index,-30,-20,-10,0,10,20,frequency (Hz)
0,-121.097702026367,-129.896453857422,-110.605827331543,-104.841361999512,-89.2593078613281,-86.5718841552734,1.0
1,-121.107925415039,-129.904586791992,-110.614761352539,-104.850547790527,-89.2664642333984,-86.5789489746094,7.249375
2,-121.118865966797,-129.913452148437,-110.624404907227,-104.860481262207,-89.2743377685547,-86.5867309570313,13.49875
3,-121.130523681641,-129.923034667969,-110.634773254395,-104.871139526367,-89.2829284667969,-86.5952529907227,19.748124999999998
4,-121.142868041992,-129.933303833008,-110.645835876465,-104.882530212402,-89.2922210693359,-86.6044769287109,25.9975
5,-121.15592956543,-129.944305419922,-110.657592773438,-104.894630432129,-89.3022232055664,-86.6144104003906,32.246875
6,-121.169692993164,-129.956024169922,-110.670059204102,-104.907470703125,-89.3129196166992,-86.6250534057617,38.496249999999996
7,-121.184158325195,-129.968444824219,-110.683219909668,-104.921020507813,-89.3243179321289,-86.6363983154297,44.745625
8,-121.199310302734,-129.981536865234,-110.697082519531,-104.93529510498,-89.3364028930664,-86.6484451293945,50.995
9,-121.208312988281,-129.988494873047,-110.704780578613,-104.943428039551,-89.3423461914063,-86.6543502807617,57.244375
10,-121.217956542969,-129.996109008789,-110.71312713623,-104.952224731445,-89.3489379882813,-86.6609191894531,63.49375
11,-121.228271484375,-130.004409790039,-110.722129821777,-104.961715698242,-89.3561782836914,-86.6681365966797,69.74312499999999
12,-121.239227294922,-130.01335144043,-110.731796264648,-104.971885681152,-89.3641052246094,-86.6760406494141,75.99249999999999
13,-121.250854492188,-130.022964477539,-110.742111206055,-104.982719421387,-89.3726577758789,-86.6845932006836,82.241875
14,-121.263122558594,-130.033233642578,-110.753089904785,-104.994232177734,-89.3818817138672,-86.6938171386719,88.49125
15,-121.27604675293,-130.044143676758,-110.764694213867,-105.006416320801,-89.3917541503906,-86.7036819458008,94.740625
16,-121.289596557617,-130.055709838867,-110.776947021484,-105.019248962402,-89.4022674560547,-86.7141952514648,100.99
17,-121.297515869141,-130.061645507812,-110.783561706543,-105.026473999023,-89.4071350097656,-86.7190933227539,107.239375
18,-121.306045532227,-130.068206787109,-110.790786743164,-105.034332275391,-89.4126205444336,-86.7245941162109,113.48875
19,-121.315200805664,-130.075378417969,-110.798622131348,-105.04280090332,-89.4187164306641,-86.7306976318359,119.738125
20,-121.324920654297,-130.083129882813,-110.807037353516,-105.051895141602,-89.4253997802734,-86.737419128418,125.9875
21,-121.335250854492,-130.091506958008,-110.816062927246,-105.061622619629,-89.4326934814453,-86.744743347168,132.236875
22,-121.34619140625,-130.100494384766,-110.82568359375,-105.071960449219,-89.4406051635742,-86.7526931762695,138.48624999999998
23,-121.357757568359,-130.110092163086,-110.835914611816,-105.08292388916,-89.4491195678711,-86.7612380981445,144.735625
24,-121.369888305664,-130.120300292969,-110.846748352051,-105.094512939453,-89.4582214355469,-86.7703857421875,150.98499999999999
25,-121.376876831055,-130.125350952148,-110.852416992188,-105.100952148437,-89.4621734619141,-86.7743911743164,157.234375
26,-121.38444519043,-130.130981445313,-110.858657836914,-105.10799407959,-89.4666976928711,-86.7789688110352,163.48375
27,-121.392562866211,-130.137176513672,-110.865463256836,-105.115608215332,-89.4717864990234,-86.7841110229492,169.733125
28,-121.401245117188,-130.143936157227,-110.872825622559,-105.123809814453,-89.4774475097656,-86.7898254394531,175.9825
29,-121.410491943359,-130.151275634766,-110.880744934082,-105.132591247559,-89.4836730957031,-86.7961120605469,182.231875
30,-121.420318603516,-130.159194946289,-110.88924407959,-105.141960144043,-89.4904556274414,-86.8029632568359,188.48125
31,-121.430694580078,-130.167663574219,-110.898292541504,-105.151908874512,-89.4978179931641,-86.8103866577148,194.730625
32,-121.441619873047,-130.176712036133,-110.907905578613,-105.162422180176,-89.505729675293,-86.8183670043945,200.98
33,-121.447860717773,-130.181060791016,-110.912811279297,-105.168273925781,-89.5089416503906,-86.821647644043,207.22937499999998
34,-121.454635620117,-130.185943603516,-110.918243408203,-105.174652099609,-89.5126876831055,-86.8254623413086,213.47875
35,-121.4619140625,-130.191360473633,-110.924186706543,-105.181579589844,-89.516960144043,-86.8298034667969,219.72812499999998
36,-121.469741821289,-130.197296142578,-110.9306640625,-105.189041137695,-89.5217514038086,-86.8346710205078,225.9775
37,-121.478088378906,-130.203765869141,-110.93766784668,-105.197044372559,-89.5270767211914,-86.8400650024414,232.22687499999998
38,-121.486953735352,-130.210754394531,-110.945190429688,-105.205604553223,-89.5329208374023,-86.8459930419922,238.47625
39,-121.496353149414,-130.218307495117,-110.953239440918,-105.214698791504,-89.539306640625,-86.8524475097656,244.72562499999998
40,-121.506271362305,-130.226364135742,-110.961822509766,-105.224334716797,-89.5462112426758,-86.8594284057617,250.975
41,-121.511932373047,-130.230163574219,-110.966117858887,-105.229705810547,-89.5488357543945,-86.8621368408203,257.224375
42,-121.51806640625,-130.234466552734,-110.970893859863,-105.23558807373,-89.5519638061523,-86.8653335571289,263.47375
43,-121.524719238281,-130.2392578125,-110.976173400879,-105.241981506348,-89.5555877685547,-86.869026184082,269.723125
44,-121.531860351563,-130.244552612305,-110.981941223145,-105.248893737793,-89.559700012207,-86.8732223510742,275.97249999999997
45,-121.539505004883,-130.250350952148,-110.988212585449,-105.256317138672,-89.5643310546875,-86.8779144287109,282.221875
46,-121.547637939453,-130.256652832031,-110.994972229004,-105.264236450195,-89.5694351196289,-86.8830947875977,288.47125
47,-121.556274414062,-130.263473510742,-111.002227783203,-105.272674560547,-89.5750503540039,-86.8887786865234,294.720625
48,-121.565414428711,-130.270767211914,-111.009979248047,-105.281631469727,-89.5811614990234,-86.8949584960938,300.96999999999997
49,-121.570663452148,-130.274200439453,-111.01383972168,-105.286712646484,-89.583381652832,-86.8972473144531,307.21937499999996
50,-121.576400756836,-130.278091430664,-111.018157958984,-105.292259216309,-89.5860748291016,-86.9000015258789,313.46875
51,-121.582565307617,-130.282440185547,-111.022926330566,-105.298271179199,-89.5892105102539,-86.903205871582,319.718125
52,-121.589202880859,-130.287261962891,-111.028160095215,-105.30477142334,-89.5928192138672,-86.906867980957,325.9675
53,-121.596343994141,-130.292556762695,-111.033866882324,-105.311767578125,-89.5969085693359,-86.911003112793,332.21687499999996
54,-121.603927612305,-130.29833984375,-111.040031433105,-105.319229125977,-89.6014556884766,-86.9156036376953,338.46625
55,-121.611999511719,-130.304595947266,-111.046669006348,-105.327178955078,-89.6064834594727,-86.9206848144531,344.715625
56,-121.620559692383,-130.311325073242,-111.053779602051,-105.33561706543,-89.6119766235352,-86.9262161254883,350.965
57,-121.625579833984,-130.314514160156,-111.057350158691,-105.340522766113,-89.6139373779297,-86.92822265625,357.21437499999996
58,-121.631042480469,-130.318161010742,-111.06135559082,-105.345893859863,-89.6163482666016,-86.9306716918945,363.46375
59,-121.636962890625,-130.322265625,-111.065811157227,-105.35173034668,-89.6191940307617,-86.9335556030273,369.713125
60,-121.643341064453,-130.326812744141,-111.070709228516,-105.358009338379,-89.6224899291992,-86.9368743896484,375.9625
61,-121.650161743164,-130.331817626953,-111.076049804688,-105.364753723145,-89.6262435913086,-86.9406509399414,382.21187499999996
62,-121.657440185547,-130.337280273437,-111.081832885742,-105.371948242187,-89.6304397583008,-86.9448547363281,388.46125
63,-121.665176391602,-130.343185424805,-111.088066101074,-105.379608154297,-89.6350784301758,-86.9495162963867,394.710625
64,-121.673385620117,-130.349563598633,-111.094749450684,-105.387733459473,-89.6401748657227,-86.9546127319336,400.96
65,-121.678375244141,-130.352737426758,-111.098220825195,-105.392669677734,-89.6420745849609,-86.9565124511719,407.20937499999997
66,-121.683807373047,-130.356323242188,-111.102111816406,-105.39803314209,-89.6443786621094,-86.9588088989258,413.45874999999995
67,-121.689666748047,-130.360336303711,-111.106422424316,-105.403816223145,-89.6471099853516,-86.9615249633789,419.708125
68,-121.695953369141,-130.364791870117,-111.111152648926,-105.410041809082,-89.6502685546875,-86.9646759033203,425.9575
69,-121.702682495117,-130.369674682617,-111.116310119629,-105.416717529297,-89.6538619995117,-86.9682312011719,432.20687499999997
70,-121.709854125977,-130.375015258789,-111.121887207031,-105.423820495605,-89.6578750610352,-86.9722213745117,438.45624999999995
71,-121.717468261719,-130.380767822266,-111.127891540527,-105.431365966797,-89.6623306274414,-86.9766159057617,444.705625
72,-121.725524902344,-130.386962890625,-111.134338378906,-105.439346313477,-89.6671981811523,-86.9814529418945,450.955
73,-121.730682373047,-130.390274047852,-111.137870788574,-105.444442749023,-89.6691818237305,-86.9833831787109,457.20437499999997
74,-121.736267089844,-130.393981933594,-111.141815185547,-105.44995880127,-89.6715698242188,-86.9857025146484,463.45374999999996
75,-121.742263793945,-130.39811706543,-111.14616394043,-105.45588684082,-89.6743621826172,-86.9884185791016,469.703125
76,-121.748687744141,-130.40266418457,-111.150917053223,-105.46223449707,-89.6775665283203,-86.9915466308594,475.9525
77,-121.75553894043,-130.407638549805,-111.156074523926,-105.469009399414,-89.6811828613281,-86.9950714111328,482.201875
78,-121.762817382812,-130.413024902344,-111.161643981934,-105.476196289063,-89.6852111816406,-86.9990005493164,488.45124999999996
79,-121.770523071289,-130.418823242188,-111.167640686035,-105.483810424805,-89.6896667480469,-87.0033416748047,494.700625
80,-121.778656005859,-130.425048828125,-111.174034118652,-105.491851806641,-89.6945266723633,-87.0080795288086,500.95
81,-121.784194946289,-130.428665161133,-111.177803039551,-105.497283935547,-89.6967697143555,-87.0101928710938,507.199375
82,-121.790130615234,-130.432678222656,-111.181968688965,-105.503105163574,-89.6993942260742,-87.0126876831055,513.44875
83,-121.796478271484,-130.437088012695,-111.186515808105,-105.509330749512,-89.7024154663086,-87.0155563354492,519.698125
84,-121.80322265625,-130.441909790039,-111.191452026367,-105.515953063965,-89.7058258056641,-87.0188064575195,525.9475
85,-121.810394287109,-130.447128295898,-111.196792602539,-105.522994995117,-89.7096405029297,-87.0224456787109,532.196875
86,-121.817977905273,-130.452743530273,-111.202522277832,-105.530433654785,-89.7138519287109,-87.0264892578125,538.44625
87,-121.825988769531,-130.458786010742,-111.208671569824,-105.538291931152,-89.7184677124023,-87.0309143066406,544.695625
88,-121.834411621094,-130.465240478516,-111.215187072754,-105.546546936035,-89.7234878540039,-87.0357208251953,550.9449999999999
